Measure,Why It Counts
Cohort Graduation Rate,"Graduation rate is the most widely recognized measure of a public school system’s success. Every student who earns a diploma gains access to more career opportunities, higher lifetime earnings, and better health outcomes."
ACT Composite Score,"Every North Carolina junior takes the ACT, giving families and educators a common measure of college readiness. Students who score higher open doors to more college choices and stronger career opportunities."
AP Participation,Taking Advanced Placement courses challenges students with college-level work before they leave high school. Students who take on that challenge build skills and confidence that carry into college and careers.
AP Performance,"Passing an AP exam proves a student can master college-level material. Students who earn a passing score can receive college credit, saving their families time and tuition while getting a head start on a degree."
Dual Enrollment Participation,Dual enrollment lets students take real college courses while still in high school. Students who participate enroll in college at higher rates and arrive at college with momentum already behind them.
Dual Enrollment Credit,"Enrolling in a college course matters, but earning the credit proves a student can do the work. Students who finish with credit shorten their path to a degree and reduce tuition costs for their families."
CTE Participation,"Career and Technical Education connects classroom learning to the workplace. Students who participate in CTE build practical skills and stay engaged in school, preparing them for jobs or further education."
CTE Credentials,Millions of good-paying jobs do not require a four-year degree. Students who earn industry credentials can show employers they have real-world skills — and that proof helps them land stronger jobs.
NAEP Grade 4 Reading,Students who read well by fourth grade are far more likely to graduate. This is the moment when children shift from learning to read to reading to learn every other subject.
NAEP Grade 8 Reading,"By eighth grade, reading is the tool students use to learn science, history, and every other subject. Strong readers enter high school ready to handle rigorous coursework across all classes."
NAEP Grade 4 Math,"When children build strong math skills early, the advantage stays with them for years. Students who master the basics — like fractions, patterns, and problem-solving — carry that confidence through every grade that follows."
NAEP Grade 8 Math,"Eighth-grade math determines whether students can access algebra, calculus, and other advanced courses. Students who master these skills keep the door open to college and STEM career opportunities."
Schools of Character,"Schools that teach character alongside academics help students do better in class and in life. Students in these schools build habits like teamwork, resilience, and responsibility that support success beyond the classroom."
Public School Enrollment,"Public schools serve every child regardless of income, ability, or background — providing meals, special education, and essential support services. Research shows students in diverse schools do better academically and build stronger connections."
